t,vy,ay,y_real,y_pred
0.1666667,-0.0,-0.0,-0.7170597,-1.1907244
0.1833333,-0.0,-18.13723,-0.7170597,-1.1966345
0.2,-0.5290024,-140.5023,-0.7170597,-1.0256586
0.2166667,-4.362484,-56.64822,-0.7346931,-1.1461352
0.2333333,-3.833482,83.85406,-0.8624758,-1.0805936
0.25,-0.0,45.59144,-0.8624758,-1.347348
0.2666667,-2.503731,-42.726,-0.8624758,-1.3004595
0.2833333,-2.498041,43.39274,-0.9459335,-1.3209349
0.3,0.01660131,1.186112,-0.9457439,-1.4723029
0.3166667,-2.460836,-280.0783,-0.9453802,-1.0442799
0.3333333,-9.393678,-91.6926,-1.027772,-1.2892188
0.35,-7.360296,195.8301,-1.258503,-1.370435
0.3666667,-0.4401821,159.6428,-1.273115,-1.387756
0.3833333,-2.485776,-213.6751,-1.273175,-1.2939749
0.4,-7.913443,-50.43242,-1.355974,-1.5181034
0.4166667,-5.429485,178.2463,-1.536957,-1.5237911
0.4333333,0.0001509394,-117.3663,-1.536957,-1.5832751
0.45,-8.852594,-151.7414,-1.536952,-1.460567
0.4666667,-8.852087,151.7725,-1.832043,-1.6662344
0.4833333,0.0008058802,303.4322,-1.832021,-1.6430819
0.5,-0.002237209,-349.9497,-1.832017,-1.3707477
0.5166667,-10.20733,0.0,-1.832096,-1.8111502
0.5333333,0.0,0.0,-2.172261,-1.98574
0.0,0.0,0.0,-1.530771,-0.84288454
0.01666667,-0.2460384,0.0,-1.538797,-0.87061644
0.03333333,-0.008551061,-22.11502,-1.538973,-0.87701
0.05,-0.8900707,-14.68922,-1.539082,-0.89925086
0.06666667,-0.8787357,-37.62757,-1.568642,-0.8978315
0.08333333,-1.540125,3.701369,-1.568373,-0.9452054
0.1,-1.54889,26.09704,-1.619979,-0.9411754
0.1166667,-0.005232829,-65.0846,-1.620003,-0.98261595
0.1333333,-3.449091,-58.94786,-1.620154,-0.96945405
0.15,-3.444575,59.20469,-1.734973,-0.9194478
0.1666667,-0.0,62.41864,-1.734973,-1.1189741
0.1833333,-1.624031,6.787213,-1.734973,-1.1820115
0.2,-0.6140551,22.30962,-1.789107,-1.2383171
0.2166667,0.3436698,-190.1106,-1.755441,-1.0019273
0.2333333,-6.997087,-131.733,-1.777651,-1.0351568
0.25,-6.330781,131.3725,-1.988677,-1.1292406
0.2666667,-1.490998e-14,217.0554,-1.988677,-1.1392447
0.2833333,-0.0,-155.9356,-1.988677,-1.1922373
0.3,-4.548122,-77.9678,-1.988677,-1.2950232
0.3166667,-4.548122,77.9678,-2.140281,-1.2872485
0.3333333,1.490998e-14,78.48897,-2.140281,-1.48257
0.35,-2.25886,-37.10738,-2.140281,-1.4961894
0.3666667,-2.211729,38.3427,-2.215577,-1.5494173
0.3833333,0.01246449,0.0,-2.214006,-1.6545151
0.4,0.0,0.0,-2.215161,-1.691185
0.0,0.0,0.0,-1.66991,-0.84288454
0.01666667,-0.05991639,0.0,-1.671688,-0.87601256
0.03333333,-0.01062524,-20.20208,-1.671907,-0.8799981
0.05,-0.6478881,-10.87498,-1.672042,-0.91201675
0.06666667,-0.647699,11.04493,-1.693503,-0.9438861
0.08333333,-0.005762906,-26.95543,-1.693632,-0.97373337
0.1,-1.432913,-24.43398,-1.693696,-0.9734255
0.1166667,-1.432982,24.51641,-1.741396,-0.9903587
0.1333333,-0.003324131,-61.74041,-1.741462,-1.0227765
0.15,-3.233442,-55.31646,-1.741507,-1.0144815
0.1666667,-3.232082,55.45374,-1.849243,-0.9771131
0.1833333,-0.0,110.8142,-1.849243,-1.0658035
0.2,-0.0,-96.36742,-1.849243,-1.1068795
0.2166667,-2.810716,-48.18371,-1.849243,-1.177871
0.2333333,-2.810716,48.18371,-1.942934,-1.1744031
0.25,-0.0,30.56178,-1.942934,-1.3760494
0.2666667,-1.919331,-32.80918,-1.942934,-1.3228203
0.2833333,-1.9166,33.07427,-2.006911,-1.3658676
0.3,0.006366303,-132.1847,-2.00682,-1.2658727
0.3166667,-5.771536,-99.15889,-2.006699,-1.2843652
0.3333333,-5.775171,0.0,-2.199205,-1.3900374
0.35,0.0,0.0,-2.199205,-1.5807267
0.0,0.0,0.0,-1.020268,-0.84288454
0.01666667,-0.2238224,0.0,-1.020021,-0.87148225
0.03333333,-0.2274515,-29.05085,-1.027729,-0.85991824
0.05,-0.953645,-8.552097,-1.027603,-0.9072639
0.06666667,-0.9574783,16.28754,-1.059517,-0.91584086
0.08333333,8.216358e-05,-22.57756,-1.059519,-0.9808642
0.1,-1.615884,-27.74437,-1.059514,-0.9661066
0.1166667,-1.617218,27.64005,-1.113382,-0.97640646
0.1333333,-0.002293671,-65.13934,-1.113421,-1.017394
0.15,-3.517076,-60.21409,-1.113458,-1.0034981
0.1666667,-3.515969,60.31171,-1.230657,-0.9555267
0.1833333,-0.0,34.98128,-1.230657,-1.2106175
0.2,-2.495681,-42.72041,-1.230657,-1.1532873
0.2166667,-2.493853,42.82205,-1.313847,-1.1570952
0.2333333,0.002050167,3.224825,-1.313786,-1.3350506
0.25,-2.400599,-41.39146,-1.313778,-1.2669435
0.2666667,-2.405722,40.93494,-1.393806,-1.2883878
0.2833333,-0.008703683,-171.5265,-1.393969,-1.1680155
0.3,-7.408029,-126.6215,-1.394096,-1.1854044
0.3166667,-7.402043,127.0971,-1.640903,-1.2971839
0.3333333,0.002174217,54.32087,-1.64083,-1.5299048
0.35,-5.818781,-99.82508,-1.640831,-1.3564057
0.3666667,-5.818771,99.7507,-1.83479,-1.4130057
0.3833333,1.490998e-14,199.5007,-1.83479,-1.411641
0.4,-0.0,-199.4262,-1.83479,-1.3826987
0.4166667,-5.816597,-99.7131,-1.83479,-1.5038828
0.4333333,-5.816597,11.79058,-2.028676,-1.612926
0.45,-2.564407,155.6415,-2.028676,-1.5918195
0.4666667,-2.559257,44.13618,-2.114157,-1.7709923
0.4833333,0.007677074,0.0,-2.113985,-1.875374
0.5,0.0,0.0,-2.113901,-1.9121011
0.0,0.0,0.0,-1.642633,-0.84288454
0.01666667,-0.8106754,0.0,-1.642698,-0.8377464
0.03333333,-0.7995078,14.1766,-1.669655,-0.85057217
0.05,0.01177731,-13.87573,-1.669348,-0.9254725
0.06666667,-1.207542,-21.21839,-1.669263,-0.9148661
0.08333333,-1.213426,20.50191,-1.7096,-0.93214107
0.1,-0.006178138,-77.79017,-1.70971,-0.92757916
0.1166667,-3.482074,-59.48088,-1.709806,-0.9314141
0.1333333,-3.479217,59.74168,-1.825779,-0.8756392
0.15,-0.0,-8.562496,-1.825779,-1.1423092
0.1666667,-3.728957,-63.92497,-1.825779,-1.032032
0.1833333,-3.728957,63.92497,-1.950078,-0.98067605
0.2,-0.0,-4.269444,-1.950078,-1.2534955
0.2166667,-3.853482,-66.05969,-1.950078,-1.1376919
0.2333333,-3.853482,66.05969,-2.078527,-1.0950502
0.25,-1.490998e-14,-23.21016,-2.078527,-1.3276947
