t,y_real,y_pred
0.25,-1.988677,-1.2416862
0.2666667,-1.988677,-1.2838793
0.2833333,-1.988677,-1.3224114
0.3,-1.988677,-1.3573998
0.3166667,-2.140281,-1.3896406
0.3333333,-2.140281,-1.4202487
0.35,-2.140281,-1.4503653
0.3666667,-2.215577,-1.4809552
0.3833333,-2.214006,-1.5126745
0.4,-2.215161,-1.5458004
0.0,-1.66991,-0.90192914
0.01666667,-1.671688,-0.90699863
0.03333333,-1.671907,-0.9126687
0.05,-1.672042,-0.9191561
0.06666667,-1.693503,-0.9267726
0.08333333,-1.693632,-0.9359569
0.1,-1.693696,-0.94730467
0.1166667,-1.741396,-0.96158814
0.1333333,-1.741462,-0.979738
0.15,-1.741507,-1.0027493
0.1666667,-1.849243,-1.0314661
0.1833333,-1.849243,-1.0662383
0.2,-1.849243,-1.1065472
0.2166667,-1.849243,-1.150825
0.2333333,-1.942934,-1.1967041
0.25,-1.942934,-1.2416862
0.2666667,-1.942934,-1.2838793
0.2833333,-2.006911,-1.3224114
0.3,-2.00682,-1.3573998
0.3166667,-2.006699,-1.3896406
0.3333333,-2.199205,-1.4202487
0.35,-2.199205,-1.4503653
0.0,-1.020268,-0.90192914
0.01666667,-1.020021,-0.90699863
0.03333333,-1.027729,-0.9126687
0.05,-1.027603,-0.9191561
0.06666667,-1.059517,-0.9267726
0.08333333,-1.059519,-0.9359569
0.1,-1.059514,-0.94730467
0.1166667,-1.113382,-0.96158814
0.1333333,-1.113421,-0.979738
0.15,-1.113458,-1.0027493
0.1666667,-1.230657,-1.0314661
0.1833333,-1.230657,-1.0662383
0.2,-1.230657,-1.1065472
0.2166667,-1.313847,-1.150825
0.2333333,-1.313786,-1.1967041
0.25,-1.313778,-1.2416862
0.2666667,-1.393806,-1.2838793
0.2833333,-1.393969,-1.3224114
0.3,-1.394096,-1.3573998
0.3166667,-1.640903,-1.3896406
0.3333333,-1.64083,-1.4202487
0.35,-1.640831,-1.4503653
0.3666667,-1.83479,-1.4809552
0.3833333,-1.83479,-1.5126745
0.4,-1.83479,-1.5458004
0.4166667,-1.83479,-1.5802355
0.4333333,-2.028676,-1.615622
0.45,-2.028676,-1.6515672
0.4666667,-2.114157,-1.6879251
0.4833333,-2.113985,-1.7250156
0.5,-2.113901,-1.7636404
