file,n,dt,g_newton,rmse_ay_newton
274.txt,39,0.01666669999999995,-8.573474759633234,478.2887768518043
275.txt,35,0.01666669999999998,-9.862885413274174,388.41139329793526
276.txt,37,0.01666669999999995,-8.732011528107556,445.64931038224535
277.txt,37,0.01666669999999995,-9.568137235619053,332.5821698446973
278.txt,28,0.01666669999999998,-9.209621346644907,322.6178857517378
279.txt,39,0.01666669999999995,-8.51052234717698,472.35932533070644
280.txt,23,0.016666684999999994,-9.028994295607735,269.8711960154294
281.txt,35,0.01666669999999998,-8.510249410843462,244.06514333878124
282.txt,22,0.01666667000000001,-9.715250490605063,307.23724777775004
283.txt,30,0.01666669999999998,-9.227267625816737,505.2854528339795
284.txt,29,0.01666669999999998,-7.446363543598909,288.6704043897853
285.txt,21,0.016666670000000005,-9.933428467459342,371.27289410861835
286.txt,24,0.01666667000000001,-9.486232630315993,257.0672172636723
287.txt,29,0.01666669999999998,-8.098008442499427,275.44902609337754
288.txt,25,0.016666684999999994,-9.005461353696811,258.51453307758504
289.txt,39,0.01666669999999995,-10.620285627379369,371.5387409529055
290.txt,27,0.016666684999999994,-4.019642426536784,2189.00378381479
291.txt,35,0.01666669999999998,-7.811059329950344,389.483062078914
292.txt,22,0.01666667000000001,-10.396050623583546,178.4226870410301
293.txt,34,0.01666669999999998,-8.614088538275968,606.1708699482498
294.txt,43,0.016666699999999923,-9.125494036863554,317.5870945766048
295.txt,36,0.01666669999999998,-8.562016847564665,313.88859567426397
296.txt,23,0.016666684999999994,-7.565565104318046,287.74019335070057
297.txt,35,0.01666669999999998,-10.185193206018376,489.63841413818835
298.txt,41,0.01666669999999995,-9.681499694789672,446.47109904137193
299.txt,34,0.01666669999999998,-10.570297376797356,389.9074824929562
300.txt,21,0.016666670000000005,-8.971240057955399,215.7642303375128
301.txt,39,0.01666669999999995,-8.817674268058358,333.5949981053694
302.txt,109,0.01666669999999998,-1.2309132721623746,148.28292007014164
303.txt,31,0.01666669999999998,-10.075071948194816,280.8716587745973
