file,n,dt,win_sg,rmse_vy_sg,rmse_ay_sg
099.txt,37,0.01666669999999995,5,0.7286978375599987,0.0004690643722924509
100.txt,26,0.01666669999999998,5,0.3613293530372786,0.0005324815195999349
101.txt,33,0.01666669999999998,5,0.5206165416535562,0.0007025141217350869
102.txt,40,0.01666669999999998,5,0.385148910577783,0.0003548858748211073
103.txt,37,0.01666669999999995,5,0.3327030339213741,0.0004346757964567235
104.txt,21,0.016666670000000005,5,0.1982636566325116,0.0006261881549378247
105.txt,30,0.01666669999999998,5,0.2697343889744373,0.0008613958695092831
106.txt,33,0.01666669999999998,5,0.5353233707765861,0.00043684060094010944
107.txt,33,0.01666669999999998,5,0.33027042500819576,0.0004116148769233893
108.txt,33,0.01666669999999998,5,0.45088774723396774,0.00046155304633773575
109.txt,40,0.01666669999999998,5,0.5025365676486928,0.0003542290084531786
110.txt,40,0.01666669999999998,5,0.440936916194866,0.0004459573514706054
111.txt,41,0.01666669999999995,5,0.5338570757955747,0.0005689903440496745
112.txt,31,0.01666669999999998,5,0.37259019630308965,0.000582598036447664
113.txt,27,0.016666684999999994,5,0.4787142974200441,0.0006095774646366866
114.txt,18,0.01666667,5,0.23645691939837,0.0006363706744190657
115.txt,34,0.01666669999999998,5,0.3959938631246461,0.0004428213597030926
116.txt,29,0.01666669999999998,5,0.40482234889046814,0.0005634773861531811
117.txt,34,0.01666669999999998,5,0.43754905633342317,0.0004681425904151421
118.txt,24,0.01666667000000001,5,0.3609916170570099,0.0005363289576517041
119.txt,36,0.01666669999999998,5,0.7486072717377988,0.0006032516840005788
120.txt,38,0.01666669999999998,5,1.077901532137326,0.0007437120530121846
121.txt,31,0.01666669999999998,5,0.5268295666069389,0.0004682353938460811
122.txt,40,0.01666669999999998,5,0.7918099694036983,0.0006925519465470186
123.txt,35,0.01666669999999998,5,0.27728396560918833,0.0003934449340015683
124.txt,31,0.01666669999999998,5,0.35194922616134117,0.0006435235437708846
125.txt,41,0.01666669999999995,5,0.5504814397893452,0.0004986436531293305
126.txt,27,0.016666684999999994,5,0.43340016169933415,0.0005365142304427719
127.txt,35,0.01666669999999998,5,0.3739049503071971,0.0005065505735467004
128.txt,43,0.016666699999999923,5,0.46070882055185663,0.00037662260815989106
129.txt,21,0.016666670000000005,5,0.26485857603635415,0.0006325377976030732
130.txt,38,0.01666669999999998,5,0.5302457044624198,0.00041600816615100956
131.txt,30,0.01666669999999998,5,0.3813760739994212,0.0005778122790724116
132.txt,30,0.01666669999999998,5,1.8721587967888043,0.0010642367786208224
133.txt,34,0.01666669999999998,5,0.5156602682320589,0.0005522509693167446
134.txt,25,0.016666684999999994,5,0.6098337245519779,0.0004568969427135095
135.txt,27,0.016666684999999994,5,0.38560883656103684,0.0005468886308976621
136.txt,28,0.01666669999999998,5,0.4292429477166106,0.0006482195791406169
137.txt,35,0.01666669999999998,5,0.5137686424611972,0.0005768627827201267
138.txt,23,0.016666684999999994,5,0.5063166277945621,0.0006143993222676417
139.txt,31,0.01666669999999998,5,0.4581697330334414,0.000488882420985512
140.txt,35,0.01666669999999998,5,0.7370300250481083,0.0005022177571932534
141.txt,23,0.016666684999999994,5,0.24296037338100424,0.0004479901221021921
142.txt,27,0.016666684999999994,5,0.3167354231871743,0.0006470456224164883
143.txt,29,0.01666669999999998,5,0.2801287632430045,0.0005967866787200216
144.txt,27,0.016666684999999994,5,0.523098424797909,0.0004421683802374828
145.txt,26,0.01666669999999998,5,0.37469052575649914,0.0006049844591130097
146.txt,38,0.01666669999999998,5,0.6290413064401346,0.00041630084269103396
147.txt,36,0.01666669999999998,5,0.5360168079300074,0.0003919911725825457
148.txt,22,0.01666667000000001,5,0.3084604534376747,0.0003950291258751996
149.txt,23,0.016666684999999994,5,0.3427560113572382,0.000583300390738642
150.txt,31,0.01666669999999998,5,0.37225651988988895,0.0005650295699554393
151.txt,21,0.016666670000000005,5,0.20518934105871228,0.0004964917850283961
152.txt,41,0.01666669999999995,5,0.2986431559486916,0.00030585676724654957
