seed,formulacion,arquitectura,clip,g_pred,g_real
1,tau,tanh_deep,120.txt,-8.036088850670055,-10.812100637768289
1,tau,tanh_deep,231.txt,-10.293991532838561,-10.878542305451035
1,tau,tanh_deep,197.txt,-8.036088850670055,-8.504410331700646
1,tau,tanh_deep,538.txt,-5.846127183894005,-9.881217804768164
1,tau,tanh_deep,056.txt,-7.380410529923998,-4.11582119450276
1,tau,tanh_deep,585.txt,-9.773195901795328,-8.751643275241502
1,tau,tanh_deep,548.txt,-10.489043569859405,-10.719242621020923
1,tau,tanh_deep,306.txt,-9.510062440512764,-8.265232105193146
1,tau,tanh_deep,580.txt,-4.185042657726201,-9.434733023626436
1,tau,tanh_deep,019.txt,-9.524116420469593,-6.046468130162053
1,tau,tanh_deep,443.txt,-9.510062440512764,-9.251466477864465
1,tau,tanh_deep,545.txt,-9.773195901795328,-10.67282880892517
1,tau,tanh_deep,251.txt,-9.537844165099171,-9.209045380387858
1,tau,tanh_deep,391.txt,-5.020065523059996,-10.515894264110278
1,tau,tanh_deep,518.txt,-9.524116420469593,-10.689046373557117
1,tau,tanh_deep,050.txt,-2.5556491488993647,-4.678080557997228
1,tau,tanh_deep,011.txt,-10.665314367557661,-7.5286186917185365
1,tau,tanh_deep,553.txt,-9.443364042992396,-10.339736082711072
1,tau,tanh_deep,561.txt,-9.443364042992396,-8.953736604454765
1,tau,tanh_deep,601.txt,-8.582563006999097,-9.348885703101427
1,tau,tanh_deep,514.txt,-9.922466606079272,-10.561449823270188
1,tau,tanh_deep,261.txt,-9.773195901795328,-10.46402099631843
1,tau,tanh_deep,184.txt,-10.099817322932081,-8.86609155038967
1,tau,tanh_deep,578.txt,-9.773195901795328,-9.933897812775621
1,tau,tanh_deep,047.txt,-2.5556491488993647,-4.712565156530055
1,tau,tanh_deep,283.txt,-9.537844165099171,-9.227267625816745
1,tau,tanh_deep,339.txt,-9.283508232334372,-9.447360208079145
1,tau,tanh_deep,415.txt,-9.000502669258905,-10.197400672988246
1,tau,tanh_deep,193.txt,-8.036088850670055,-9.409578473164139
1,tau,tanh_deep,413.txt,-10.865458505144458,-12.361023995384453
1,tau,tanh_deep,555.txt,-7.380410529923998,-9.766044737064815
1,tau,tanh_deep,591.txt,-9.443364042992396,-9.430527729809628
1,tau,tanh_deep,288.txt,-10.099817322932081,-9.005461353696825
1,tau,tanh_deep,385.txt,-9.773195901795328,-8.05281509291951
1,tau,tanh_deep,567.txt,-9.922466606079272,-10.483109531398455
1,tau,tanh_deep,528.txt,-9.000502669258905,-9.726846491165402
1,tau,tanh_deep,226.txt,-10.293991532838561,-8.880964218758816
1,tau,tanh_deep,255.txt,-8.036088850670055,-9.432846337007929
1,tau,tanh_deep,324.txt,-10.099817322932081,-7.907656094014971
1,tau,tanh_deep,167.txt,-8.582563006999097,-9.122237163580015
1,tau,tanh_deep,508.txt,-9.580473130492871,-9.756726928763811
1,tau,tanh_deep,145.txt,-9.922466606079272,-11.594285643723275
1,tau,tanh_deep,157.txt,-10.099817322932081,-7.266332938694158
1,tau,tanh_deep,240.txt,-9.922466606079272,-6.393802204503543
1,tau,tanh_deep,209.txt,-9.580473130492871,-9.775369282055694
1,tau,tanh_deep,281.txt,-9.283508229380727,-8.510249410843452
1,tau,tanh_deep,511.txt,-10.865458505144458,-9.185080493170968
1,tau,tanh_deep,303.txt,-9.524116420469593,-10.075071948194815
1,tau,tanh_deep,289.txt,-7.380410529923998,-10.620285627379364
1,tau,tanh_deep,238.txt,-9.283508232334372,-8.554548693866554
1,tau,tanh_deep,051.txt,-3.3589235721116837,-1.2504455469125233
1,tau,tanh_deep,437.txt,-9.773195901795328,-9.312244881517678
1,tau,tanh_deep,424.txt,-9.658443668321944,-7.869178280088708
1,tau,tanh_deep,086.txt,-9.922466606079272,-8.259488411687574
1,tau,tanh_deep,547.txt,-9.524116420469593,-8.366330169909368
1,tau,tanh_deep,088.txt,-9.443364042992396,-9.497035546210387
1,tau,tanh_deep,270.txt,-10.759295795192564,-8.310094378503702
1,tau,tanh_deep,203.txt,-2.5556491488993647,-9.437511706682855
1,tau,tanh_deep,046.txt,-1.785615339705355,-4.707262716101257
1,tau,tanh_deep,039.txt,-3.3589235721116837,-4.2808267415990375
1,tau,tanh_deep,576.txt,-2.5556491488993647,-9.510754892820247
1,tau,tanh_deep,295.txt,-9.000502669258905,-8.562016847564676
1,tau,tanh_deep,156.txt,-9.580473130492871,-10.959847612296656
1,tau,tanh_deep,210.txt,-9.524086254834762,-9.02320494608418
1,tau,tanh_deep,331.txt,-6.641356727943289,-9.6556871406545
1,tau,tanh_deep,563.txt,-5.846127183894005,-10.266699490880685
1,tau_v0,simple,244.txt,-4.973632561975315,-9.208843735182336
1,tau_v0,simple,367.txt,-10.592305410931296,-8.21821838916062
1,tau_v0,simple,355.txt,-7.13007090149364,-9.815885798008464
1,tau_v0,simple,027.txt,-4.3016717765937615,-3.5031455122357897
1,tau_v0,simple,279.txt,-5.86885002201532,-8.510522347176977
1,tau_v0,simple,155.txt,-11.486174505547984,-7.701536551926104
1,tau_v0,simple,595.txt,-5.422028377284875,-7.764935461454207
1,tau_v0,simple,534.txt,-12.556257256070445,-11.248719463995728
1,tau_v0,simple,390.txt,-9.313427324353718,-10.51723634676122
1,tau_v0,simple,488.txt,-10.633857053226267,-6.386708025044115
1,tau_v0,simple,171.txt,-7.719286787307227,-9.47736039229968
1,tau_v0,simple,522.txt,-5.447497481239532,-9.935517757606494
1,tau_v0,simple,217.txt,-5.972267140318617,-10.43014550679282
1,tau_v0,simple,282.txt,-12.107274673067735,-9.715250490605056
1,tau_v0,simple,066.txt,-6.083128745567223,-8.381086137455153
1,tau_v0,simple,325.txt,-5.575890699062247,-8.829959834973168
1,tau_v0,simple,448.txt,-6.512008175552402,-9.743771655568647
1,tau_v0,simple,469.txt,-12.079736058487862,-10.20776069477919
1,tau_v0,simple,464.txt,-6.181068697959813,-9.85184787983261
1,tau_v0,simple,275.txt,-7.609460273736777,-9.862885413274167
1,tau_v0,simple,487.txt,-9.970960707906645,-10.204750158651269
1,tau_v0,simple,120.txt,-6.90517474648667,-10.812100637768289
1,tau_v0,simple,231.txt,-11.76826156845603,-10.878542305451035
1,tau_v0,simple,197.txt,-7.054597453647025,-8.504410331700646
1,tau_v0,simple,538.txt,-5.545999915927651,-9.881217804768164
1,tau_v0,simple,056.txt,-6.481452833794007,-4.11582119450276
1,tau_v0,simple,585.txt,-11.172968639405246,-8.751643275241502
1,tau_v0,simple,548.txt,-12.27659725219745,-10.719242621020923
1,tau_v0,simple,306.txt,-8.278703505363474,-8.265232105193146
1,tau_v0,simple,580.txt,-5.406031418374778,-9.434733023626436
1,tau_v0,simple,019.txt,-9.498726651953627,-6.046468130162053
1,tau_v0,simple,443.txt,-7.756482621071006,-9.251466477864465
1,tau_v0,simple,545.txt,-10.861818582864645,-10.67282880892517
1,tau_v0,simple,251.txt,-9.509490566457934,-9.209045380387858
1,tau_v0,simple,391.txt,-5.394558445259264,-10.515894264110278
1,tau_v0,simple,518.txt,-9.465330376188385,-10.689046373557117
1,tau_v0,simple,050.txt,-3.4107450022758026,-4.678080557997228
1,tau_v0,simple,011.txt,-12.316488326580973,-7.5286186917185365
1,tau_v0,simple,553.txt,-7.160199700034595,-10.339736082711072
1,tau_v0,simple,561.txt,-7.059223955387077,-8.953736604454765
1,tau_v0,simple,601.txt,-6.52521435730847,-9.348885703101427
1,tau_v0,simple,514.txt,-10.960380061617721,-10.561449823270188
1,tau_v0,simple,261.txt,-11.103097963639797,-10.46402099631843
1,tau_v0,simple,184.txt,-11.687472392113426,-8.86609155038967
1,tau_v0,simple,578.txt,-11.142627564179032,-9.933897812775621
1,tau_v0,simple,047.txt,-4.886617567265554,-4.712565156530055
1,tau_v0,simple,283.txt,-9.020278666088807,-9.227267625816745
1,tau_v0,simple,339.txt,-7.962938480222192,-9.447360208079145
1,tau_v0,simple,415.txt,-7.267980639427761,-10.197400672988246
1,tau_v0,simple,193.txt,-5.985449733254737,-9.409578473164139
1,tau_v0,simple,413.txt,-11.657548839841834,-12.361023995384453
1,tau_v0,simple,555.txt,-5.775474337968921,-9.766044737064815
1,tau_v0,simple,591.txt,-7.885287436518397,-9.430527729809628
1,tau_v0,simple,288.txt,-11.790590257725514,-9.005461353696825
1,tau_v0,simple,385.txt,-10.971070494266916,-8.05281509291951
1,tau_v0,simple,567.txt,-10.708980341457764,-10.483109531398455
1,tau_v0,simple,528.txt,-7.578132969298605,-9.726846491165402
1,tau_v0,simple,226.txt,-12.019402602864385,-8.880964218758816
1,tau_v0,simple,255.txt,-6.095375180671889,-9.432846337007929
1,tau_v0,simple,324.txt,-11.790085685698088,-7.907656094014971
1,tau_v0,simple,167.txt,-7.107349398015942,-9.122237163580015
1,tau_v0,simple,508.txt,-9.576422537869517,-9.756726928763811
1,tau_v0,simple,145.txt,-11.229022646087767,-11.594285643723275
1,tau_v0,simple,157.txt,-11.680256516350411,-7.266332938694158
1,tau_v0,simple,240.txt,-9.659962085368536,-6.393802204503543
1,tau_v0,simple,209.txt,-10.414277329865756,-9.775369282055694
1,tau_v0,simple,281.txt,-7.885876296010689,-8.510249410843452
1,tau_v0,simple,511.txt,-12.920272706827452,-9.185080493170968
1,tau_v0,simple,303.txt,-9.565651153348806,-10.075071948194815
1,tau_v0,simple,289.txt,-5.796893983943025,-10.620285627379364
1,tau_v0,simple,238.txt,-5.120885021208778,-8.554548693866554
1,tau_v0,simple,051.txt,-5.146679415621638,-1.2504455469125233
1,tau_v0,simple,437.txt,-11.201613732798464,-9.312244881517678
1,tau_v0,simple,424.txt,-9.919188249768428,-7.869178280088708
1,tau_v0,simple,086.txt,-10.432923480046727,-8.259488411687574
1,tau_v0,simple,547.txt,-8.596902000232655,-8.366330169909368
1,tau_v0,simple,088.txt,-7.405776677963029,-9.497035546210387
1,tau_v0,simple,270.txt,-12.314953002534365,-8.310094378503702
1,tau_v0,simple,203.txt,-4.736245355594475,-9.437511706682855
1,tau_v0,simple,046.txt,-4.6896756088205,-4.707262716101257
1,tau_v0,simple,039.txt,-2.792949545407534,-4.2808267415990375
1,tau_v0,simple,576.txt,-4.948939563046967,-9.510754892820247
1,tau_v0,simple,295.txt,-7.529048501855855,-8.562016847564676
1,tau_v0,simple,156.txt,-9.946280656599333,-10.959847612296656
1,tau_v0,simple,210.txt,-9.167253342346804,-9.02320494608418
1,tau_v0,simple,331.txt,-5.3608841497438,-9.6556871406545
1,tau_v0,simple,563.txt,-5.938064298036733,-10.266699490880685
1,tau_v0,media,244.txt,-4.362624436557597,-9.208843735182336
1,tau_v0,media,367.txt,-8.084059102530416,-8.21821838916062
1,tau_v0,media,355.txt,-7.113852673046368,-9.815885798008464
1,tau_v0,media,027.txt,-2.7922757031759877,-3.5031455122357897
1,tau_v0,media,279.txt,-5.748907572421779,-8.510522347176977
1,tau_v0,media,155.txt,-7.485249812204949,-7.701536551926104
1,tau_v0,media,595.txt,-4.7800623964068745,-7.764935461454207
1,tau_v0,media,534.txt,-9.09148458003841,-11.248719463995728
1,tau_v0,media,390.txt,-7.924383825054748,-10.51723634676122
1,tau_v0,media,488.txt,-8.522094863776687,-6.386708025044115
1,tau_v0,media,171.txt,-7.580305681018937,-9.47736039229968
1,tau_v0,media,522.txt,-4.8026958203066075,-9.935517757606494
1,tau_v0,media,217.txt,-5.819515093377255,-10.43014550679282
1,tau_v0,media,282.txt,-9.367402505132457,-9.715250490605056
1,tau_v0,media,066.txt,-6.538163596848442,-8.381086137455153
1,tau_v0,media,325.txt,-5.51920120932559,-8.829959834973168
1,tau_v0,media,448.txt,-6.168318726156801,-9.743771655568647
1,tau_v0,media,469.txt,-5.712839218394457,-10.20776069477919
1,tau_v0,media,464.txt,-5.76469084394237,-9.85184787983261
1,tau_v0,media,275.txt,-7.198393363114798,-9.862885413274167
1,tau_v0,media,487.txt,-7.858242857202966,-10.204750158651269
1,tau_v0,media,120.txt,-6.5447910098738085,-10.812100637768289
1,tau_v0,media,231.txt,-8.594433747955804,-10.878542305451035
1,tau_v0,media,197.txt,-6.603119981640057,-8.504410331700646
1,tau_v0,media,538.txt,-5.076760767268358,-9.881217804768164
1,tau_v0,media,056.txt,-6.152872465779556,-4.11582119450276
1,tau_v0,media,585.txt,-7.55810079130962,-8.751643275241502
1,tau_v0,media,548.txt,-7.555331062059302,-10.719242621020923
1,tau_v0,media,306.txt,-7.615840101076676,-8.265232105193146
1,tau_v0,media,580.txt,-4.576913585311631,-9.434733023626436
1,tau_v0,media,019.txt,-7.837432630768872,-6.046468130162053
1,tau_v0,media,443.txt,-7.587063664040507,-9.251466477864465
1,tau_v0,media,545.txt,-8.244002662032607,-10.67282880892517
1,tau_v0,media,251.txt,-8.138632808513643,-9.209045380387858
1,tau_v0,media,391.txt,-4.755159021285631,-10.515894264110278
1,tau_v0,media,518.txt,-7.8552891593817495,-10.689046373557117
1,tau_v0,media,050.txt,-2.198715630684208,-4.678080557997228
1,tau_v0,media,011.txt,-5.826953687143353,-7.5286186917185365
1,tau_v0,media,553.txt,-7.283573225389984,-10.339736082711072
1,tau_v0,media,561.txt,-7.259055702965514,-8.953736604454765
1,tau_v0,media,601.txt,-6.570844710745082,-9.348885703101427
1,tau_v0,media,514.txt,-8.646898402442261,-10.561449823270188
1,tau_v0,media,261.txt,-7.804092227966866,-10.46402099631843
1,tau_v0,media,184.txt,-7.840895202093912,-8.86609155038967
1,tau_v0,media,578.txt,-7.683909471374679,-9.933897812775621
1,tau_v0,media,047.txt,-3.766445239000115,-4.712565156530055
1,tau_v0,media,283.txt,-8.273115151299056,-9.227267625816745
1,tau_v0,media,339.txt,-7.213824107151433,-9.447360208079145
1,tau_v0,media,415.txt,-6.978666623355442,-10.197400672988246
1,tau_v0,media,193.txt,-6.054002597319215,-9.409578473164139
1,tau_v0,media,413.txt,-3.571116186264353,-12.361023995384453
1,tau_v0,media,555.txt,-5.68152823580367,-9.766044737064815
1,tau_v0,media,591.txt,-7.403876256711951,-9.430527729809628
1,tau_v0,media,288.txt,-7.147055643599407,-9.005461353696825
1,tau_v0,media,385.txt,-8.065522437521194,-8.05281509291951
1,tau_v0,media,567.txt,-8.904889140451017,-10.483109531398455
1,tau_v0,media,528.txt,-7.014500948904191,-9.726846491165402
1,tau_v0,media,226.txt,-6.619348099338772,-8.880964218758816
1,tau_v0,media,255.txt,-6.125148800959257,-9.432846337007929
1,tau_v0,media,324.txt,-7.19489231897768,-7.907656094014971
1,tau_v0,media,167.txt,-6.787240628784847,-9.122237163580015
1,tau_v0,media,508.txt,-8.430979150238915,-9.756726928763811
1,tau_v0,media,145.txt,-8.27443602901605,-11.594285643723275
1,tau_v0,media,157.txt,-7.882165194399971,-7.266332938694158
1,tau_v0,media,240.txt,-9.370755931204583,-6.393802204503543
1,tau_v0,media,209.txt,-7.810698079217051,-9.775369282055694
1,tau_v0,media,281.txt,-7.212780704191132,-8.510249410843452
1,tau_v0,media,511.txt,-6.099934652430878,-9.185080493170968
1,tau_v0,media,303.txt,-7.795785107856935,-10.075071948194815
1,tau_v0,media,289.txt,-5.6974493001789375,-10.620285627379364
1,tau_v0,media,238.txt,-6.084450626490211,-8.554548693866554
1,tau_v0,media,051.txt,-4.17038058186405,-1.2504455469125233
1,tau_v0,media,437.txt,-7.433601379168851,-9.312244881517678
1,tau_v0,media,424.txt,-8.613186286496411,-7.869178280088708
1,tau_v0,media,086.txt,-9.095927314429419,-8.259488411687574
1,tau_v0,media,547.txt,-8.061585903751181,-8.366330169909368
1,tau_v0,media,088.txt,-7.344466893511783,-9.497035546210387
1,tau_v0,media,270.txt,-4.542275612542334,-8.310094378503702
1,tau_v0,media,203.txt,-3.6239420338008794,-9.437511706682855
1,tau_v0,media,046.txt,-3.4293987807239437,-4.707262716101257
1,tau_v0,media,039.txt,-1.5602210444586928,-4.2808267415990375
1,tau_v0,media,576.txt,-3.8271968066420636,-9.510754892820247
1,tau_v0,media,295.txt,-7.009557912968388,-8.562016847564676
1,tau_v0,media,156.txt,-8.248365197337291,-10.959847612296656
1,tau_v0,media,210.txt,-7.69024656911651,-9.02320494608418
1,tau_v0,media,331.txt,-5.123237450931962,-9.6556871406545
1,tau_v0,media,563.txt,-5.390320117640893,-10.266699490880685
1,tau_v0,tanh_deep,244.txt,-6.214458085533376,-9.208843735182336
1,tau_v0,tanh_deep,367.txt,-10.04402593224702,-8.21821838916062
1,tau_v0,tanh_deep,355.txt,-10.186903945565124,-9.815885798008464
1,tau_v0,tanh_deep,027.txt,-1.9254390688336478,-3.5031455122357897
1,tau_v0,tanh_deep,279.txt,-8.731601410120199,-8.510522347176977
1,tau_v0,tanh_deep,155.txt,-9.433257022157251,-7.701536551926104
1,tau_v0,tanh_deep,595.txt,-6.341617755477718,-7.764935461454207
1,tau_v0,tanh_deep,534.txt,-9.595102391969736,-11.248719463995728
1,tau_v0,tanh_deep,390.txt,-9.735318072630397,-10.51723634676122
1,tau_v0,tanh_deep,488.txt,-9.959233868666658,-6.386708025044115
1,tau_v0,tanh_deep,171.txt,-9.829605126428515,-9.47736039229968
1,tau_v0,tanh_deep,522.txt,-6.306105544114537,-9.935517757606494
1,tau_v0,tanh_deep,217.txt,-8.840017265980343,-10.43014550679282
1,tau_v0,tanh_deep,282.txt,-9.404583522288796,-9.715250490605056
1,tau_v0,tanh_deep,066.txt,-9.0749389593342,-8.381086137455153
1,tau_v0,tanh_deep,325.txt,-8.25794101658654,-8.829959834973168
1,tau_v0,tanh_deep,448.txt,-7.91187858072829,-9.743771655568647
1,tau_v0,tanh_deep,469.txt,-8.819140582990697,-10.20776069477919
1,tau_v0,tanh_deep,464.txt,-7.447159134641735,-9.85184787983261
1,tau_v0,tanh_deep,275.txt,-10.066238989685402,-9.862885413274167
1,tau_v0,tanh_deep,487.txt,-8.361508576289204,-10.204750158651269
1,tau_v0,tanh_deep,120.txt,-7.994157542496364,-10.812100637768289
1,tau_v0,tanh_deep,231.txt,-9.598028159249067,-10.878542305451035
1,tau_v0,tanh_deep,197.txt,-7.493726101051461,-8.504410331700646
1,tau_v0,tanh_deep,538.txt,-7.334739564618597,-9.881217804768164
1,tau_v0,tanh_deep,056.txt,-8.013717099670306,-4.11582119450276
1,tau_v0,tanh_deep,585.txt,-8.531854185357982,-8.751643275241502
1,tau_v0,tanh_deep,548.txt,-10.320163651698524,-10.719242621020923
1,tau_v0,tanh_deep,306.txt,-10.239025543018117,-8.265232105193146
1,tau_v0,tanh_deep,580.txt,-5.358908658537545,-9.434733023626436
1,tau_v0,tanh_deep,019.txt,-8.745365017142623,-6.046468130162053
1,tau_v0,tanh_deep,443.txt,-9.884222830070632,-9.251466477864465
1,tau_v0,tanh_deep,545.txt,-10.347938427928167,-10.67282880892517
1,tau_v0,tanh_deep,251.txt,-10.167020960733597,-9.209045380387858
1,tau_v0,tanh_deep,391.txt,-6.376650122758494,-10.515894264110278
1,tau_v0,tanh_deep,518.txt,-8.983078100103961,-10.689046373557117
1,tau_v0,tanh_deep,050.txt,-1.8244794230188692,-4.678080557997228
1,tau_v0,tanh_deep,011.txt,-10.17677252209062,-7.5286186917185365
1,tau_v0,tanh_deep,553.txt,-9.7070300305138,-10.339736082711072
1,tau_v0,tanh_deep,561.txt,-9.579965698844763,-8.953736604454765
1,tau_v0,tanh_deep,601.txt,-9.850033421560639,-9.348885703101427
1,tau_v0,tanh_deep,514.txt,-9.700294230093816,-10.561449823270188
1,tau_v0,tanh_deep,261.txt,-9.618015961368524,-10.46402099631843
1,tau_v0,tanh_deep,184.txt,-10.471167793992118,-8.86609155038967
1,tau_v0,tanh_deep,578.txt,-9.136896081324418,-9.933897812775621
1,tau_v0,tanh_deep,047.txt,-3.831628794701141,-4.712565156530055
1,tau_v0,tanh_deep,283.txt,-9.458750572967654,-9.227267625816745
1,tau_v0,tanh_deep,339.txt,-8.227403747130248,-9.447360208079145
1,tau_v0,tanh_deep,415.txt,-9.886759969067478,-10.197400672988246
1,tau_v0,tanh_deep,193.txt,-9.072143150165825,-9.409578473164139
1,tau_v0,tanh_deep,413.txt,-9.718768556696602,-12.361023995384453
1,tau_v0,tanh_deep,555.txt,-8.598202198465701,-9.766044737064815
1,tau_v0,tanh_deep,591.txt,-10.287931716747,-9.430527729809628
1,tau_v0,tanh_deep,288.txt,-9.558804406803224,-9.005461353696825
1,tau_v0,tanh_deep,385.txt,-10.253752834134028,-8.05281509291951
1,tau_v0,tanh_deep,567.txt,-9.139140475628897,-10.483109531398455
1,tau_v0,tanh_deep,528.txt,-8.358438636369314,-9.726846491165402
1,tau_v0,tanh_deep,226.txt,-9.485323148397638,-8.880964218758816
1,tau_v0,tanh_deep,255.txt,-9.243351705560418,-9.432846337007929
1,tau_v0,tanh_deep,324.txt,-9.679996830519517,-7.907656094014971
1,tau_v0,tanh_deep,167.txt,-8.891098738196012,-9.122237163580015
1,tau_v0,tanh_deep,508.txt,-9.614626667249363,-9.756726928763811
1,tau_v0,tanh_deep,145.txt,-10.314315830599039,-11.594285643723275
1,tau_v0,tanh_deep,157.txt,-10.468624580021837,-7.266332938694158
1,tau_v0,tanh_deep,240.txt,-8.696047473057288,-6.393802204503543
1,tau_v0,tanh_deep,209.txt,-8.147849203177072,-9.775369282055694
1,tau_v0,tanh_deep,281.txt,-8.779484855340916,-8.510249410843452
1,tau_v0,tanh_deep,511.txt,-9.872421808142768,-9.185080493170968
1,tau_v0,tanh_deep,303.txt,-8.139325483908737,-10.075071948194815
1,tau_v0,tanh_deep,289.txt,-8.630958216347745,-10.620285627379364
1,tau_v0,tanh_deep,238.txt,-8.485412233890377,-8.554548693866554
1,tau_v0,tanh_deep,051.txt,-4.616851923865341,-1.2504455469125233
1,tau_v0,tanh_deep,437.txt,-7.884429167682636,-9.312244881517678
1,tau_v0,tanh_deep,424.txt,-9.354763880144752,-7.869178280088708
1,tau_v0,tanh_deep,086.txt,-8.80103012206777,-8.259488411687574
1,tau_v0,tanh_deep,547.txt,-9.59564976604263,-8.366330169909368
1,tau_v0,tanh_deep,088.txt,-10.052008625751647,-9.497035546210387
1,tau_v0,tanh_deep,270.txt,-10.025972458045466,-8.310094378503702
1,tau_v0,tanh_deep,203.txt,-3.720008137278548,-9.437511706682855
1,tau_v0,tanh_deep,046.txt,-3.1674556416986435,-4.707262716101257
1,tau_v0,tanh_deep,039.txt,-0.5997384093713721,-4.2808267415990375
1,tau_v0,tanh_deep,576.txt,-3.985695868813284,-9.510754892820247
1,tau_v0,tanh_deep,295.txt,-8.675321854207946,-8.562016847564676
1,tau_v0,tanh_deep,156.txt,-10.199190785958848,-10.959847612296656
1,tau_v0,tanh_deep,210.txt,-7.943448460954376,-9.02320494608418
