seed,formulacion,arquitectura,n_params,epocas,mejor_epoca,tiempo_s,rmse,mae,r2,r,rmse_trivial,g_mediana,g_media,g_std,g_iqr,err_rel_%,n
2,tau,tanh_deep,1153,356,276,4.667189598083496,0.12735606729984283,0.07825446128845215,0.9352552890777588,0.9672307019990675,0.5005154013633728,-8.987164447339266,-8.539016867534002,2.477214375774668,1.738380275584527,8.387722249344897,87
2,tau_v0,simple,9,253,173,2.2085487842559814,0.14497807621955872,0.08310715854167938,0.9160984754562378,0.9576442282682263,0.5005154013633728,-7.031185688360409,-6.620775760281465,1.8846181726261733,1.7420189721522128,28.326343645663517,87
2,tau_v0,media,17,167,87,1.479440689086914,0.1433960646390915,0.08010739833116531,0.9179195761680603,0.9585842843574159,0.5005154013633728,-7.973670087612504,-8.17780759096928,2.91491501874303,2.687151269379143,18.7189593515545,87
2,tau_v0,tanh_deep,1185,355,275,4.4724249839782715,0.11810529977083206,0.06086777150630951,0.9443194270133972,0.9719503550979492,0.5005154013633728,-9.671890773336907,-8.988530626086911,2.647606276747124,1.726758441444428,1.4078412503883146,87
3,v1,simple,7,219,139,2.0131542682647705,0.48834970593452454,0.4112495481967926,0.34822016954421997,0.5909339327667614,0.6048956513404846,9.758794488464964e-07,0.022489043824065164,0.0996570737416464,6.006312942942012e-07,100.00000994780274,87
3,v1,media,13,110,30,0.9053654670715332,0.48573485016822815,0.4087696671485901,0.35518133640289307,0.597085755533509,0.6048956513404846,-2.8956483360154537,-3.595343482562167,2.180999268179685,2.716825137370253,70.4826877062645,87
3,v1,tanh_deep,1153,299,219,3.4608423709869385,0.48540517687797546,0.4083477258682251,0.3560563325881958,0.5969545281875936,0.6048956513404846,-3.4717051500812657,-3.8564400503878127,2.1809335581365024,1.581917451452303,64.61054892883521,87
3,tau,simple,7,319,239,2.548567295074463,0.19914209842681885,0.14907746016979218,0.8620718121528625,0.9288016283688767,0.5362120270729065,1.9037964363415458e-07,0.047943376969374944,0.15628874043566401,1.3706258422930486e-06,100.00000194066916,87
3,tau,media,13,230,150,1.8492565155029297,0.15774165093898773,0.09763696044683456,0.9134594798088074,0.9567684549579187,0.5362120270729065,-7.203298592143173,-6.792951805769564,1.5402391247394518,2.6788950932834634,26.571879794666945,87
3,tau,tanh_deep,1153,127,47,1.806359052658081,0.15194573998451233,0.08889192342758179,0.9197021722793579,0.9595782738946367,0.5362120270729065,-9.048424930245828,-8.258895662209595,1.8391739749165097,1.9928309750586504,7.763252494945696,87
3,tau_v0,simple,9,177,97,1.5439112186431885,0.18982650339603424,0.13930191099643707,0.8746742010116577,0.9361511124336012,0.5362120270729065,-3.4611743610947587e-08,0.021612497464410865,0.0923370539546456,1.9818088265192205e-06,99.99999964717898,87
3,tau_v0,media,17,233,153,2.2580740451812744,0.13480962812900543,0.07982917129993439,0.9367924928665161,0.969304130512242,0.5362120270729065,-7.004434979339819,-6.707046740073748,1.5692635628016556,1.9598659207333844,28.599031811011024,87
3,tau_v0,tanh_deep,1185,279,199,3.558866500854492,0.13246652483940125,0.06746356934309006,0.9389705657958984,0.9691384100935473,0.5362120270729065,-9.187009718899024,-8.95432711366241,1.5435878788740698,1.7180611088381603,6.350563517848897,87
4,v1,simple,7,397,317,3.400546073913574,0.5500463843345642,0.4690849483013153,0.2840563654899597,0.5352113462909127,0.6500696539878845,1.0685778146521022e-07,0.01843303303166681,0.08714650828211923,8.075177298252173e-07,100.00000108927402,87
4,v1,media,13,105,25,0.8797504901885986,0.5479710698127747,0.46748754382133484,0.289448618888855,0.5396486463273115,0.6500696539878845,-3.17347323087225,-4.115657557084549,2.65036400847228,3.5272584189610003,67.65062965471712,87
4,v1,tanh_deep,1153,239,159,2.833293914794922,0.5481838583946228,0.46792325377464294,0.28889673948287964,0.5398462073016197,0.6500696539878845,-2.8377662873945977,-3.7253514912257515,2.3322555546394557,3.0548144173604412,71.0727187829297,87
4,tau,simple,7,113,33,0.9119069576263428,0.19175706803798676,0.11853370070457458,0.8807675242424011,0.9431171014684254,0.5553337335586548,-7.6841637027617455,-9.121377202183476,4.486493432829943,7.066709758820131,21.670094773070893,87
4,tau,media,13,800,799,6.953533887863159,0.17868132889270782,0.10960482805967331,0.8964738249778748,0.9487681309048409,0.5553337335586548,-7.584062809162185,-7.313545254321109,2.0574399148152063,3.1006121959524213,22.690491241975696,87
4,tau,tanh_deep,1153,250,170,2.871645927429199,0.17659400403499603,0.10612258315086365,0.8988784551620483,0.9509076885990241,0.5553337335586548,-8.7447929819087,-8.214881911955118,1.8623737252626757,2.1853202885700913,10.858379389309887,87
4,tau_v0,simple,9,98,18,0.8054904937744141,0.16328507661819458,0.09855436533689499,0.9135460257530212,0.9603576156677702,0.5553337335586548,-8.462093303573567,-9.693859398526325,4.562313530465693,6.8810801481331545,13.740129423307167,87
4,tau_v0,media,17,102,22,0.8439805507659912,0.15702001750469208,0.089594267308712,0.9200530648231506,0.9628905947713573,0.5553337335586548,-7.173368838257378,-7.586901665845425,2.887977811252078,4.477131613954579,26.87697412581674,87
4,tau_v0,tanh_deep,1185,171,91,1.979722499847412,0.14123010635375977,0.07565832138061523,0.9353235363960266,0.9687376705077294,0.5553337335586548,-9.511815060062993,-9.18913089767068,1.5268855770274437,1.507031247886312,3.039601834220258,87
